Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,PRODUCT,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2005,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DPRF,204,AGG_CLTH,PT,2025-03-26T00:00:00,2023,0.05956
2010,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DPRF,204,AGG_CLTH,PT,2025-03-26T00:00:00,2023,0.05956
2011,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DPRF,204,AGG_CLTH,PT,2025-03-26T00:00:00,2023,0.03355
2012,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DPRF,204,AGG_CLTH,PT,2025-03-26T00:00:00,2023,0.03355
2013,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DPRF,204,AGG_CLTH,PT,2025-03-26T00:00:00,2023,0.03355
2014,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DPRF,204,AGG_CLTH,PT,2025-03-26T00:00:00,2023,0.03355
2015,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DPRF,204,AGG_CLTH,PT,2025-03-26T00:00:00,2023,0.03355
2016,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DPRF,204,AGG_CLTH,PT,2025-03-26T00:00:00,2023,0.03355
2017,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DPRF,204,AGG_CLTH,PT,2025-03-26T00:00:00,2023,0.03355
2018,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DPRF,204,AGG_CLTH,PT,2025-03-26T00:00:00,2023,0.03316
2019,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DPRF,204,AGG_CLTH,PT,2025-03-26T00:00:00,2023,0.03079
2020,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DPRF,204,AGG_CLTH,PT,2025-03-26T00:00:00,2023,0.03079
2021,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DPRF,204,AGG_CLTH,PT,2025-03-26T00:00:00,2023,0.03079
